time price
1512833552351 14897.95
1512833552533 14784.65
1512833552649 14785.76
1512833552776 14595.49
1512833553221 14628.71
1512833553232 14844.41
1512833553655 14628.72
1512833553729 14628.69
1512833553943 14609.96
1512833554043 14593.97
1512833554469 14628.71
1512833554470 14593.97
1512833554471 14628.68
1512833554471 14609.95
1512833554661 14554.99
1512833554733 14628.69
1512833554776 14628.66
1512833554945 14897.95
1512833555043 14561.11
1512833555259 15093.99
1512833555291 14628.68
1512833555418 14628.65
1512833555439 15117.99
1512833555493 14609.95
1512833555640 14593.97
1512833555789 14628.66
1512833555873 14593.97
1512833555874 14628.63
1512833556075 14628.73
1512833556078 14609.99
1512833556079 14628.71
1512833556085 14609.95
1512833556415 14628.65
1512833556416 14639.4
1512833556489 14628.61
1512833556521 14639.39
1512833556629 14609.95
1512833556661 14554.99
1512833556723 14628.65
1512833556936 14554.99
1512833556939 14555
1512833557052 14593.97
1512833557053 15198.88
1512833557062 14593.97
1512833557170 14555.85
1512833557287 14555.85
1512833557382 14594
1512833557626 14595.49
1512833557628 14609.95
1512833557743 14745.49
1512833557754 14609.95
1512833557848 14609.99
1512833557869 14745.48
1512833558749 14609.95
1512833558751 14609.97
1512833558752 14609.95
1512833558754 14609.92
1512833558822 14595.49
1512833559009 14608.91
1512833559310 14609.92
1512833559437 14608.88
1512833560073 14628.63
1512833560075 14608.86
1512833560382 14608.88
1512833560416 14595.49
1512833560501 14608.83
1512833560585 14628.61
1512833560991 14595.5
1512833561718 14639.39
1512833561792 14639.38
1512833561919 14609.94
1512833562217 15117.99
1512833562269 14628.65
1512833562332 14609.99
1512833562332 14609.97
1512833562363 15127.99
1512833562634 14539.5
1512833562656 14539.5
1512833562750 14539.5
1512833563052 14595.5
1512833563263 14593.99
1512833563482 14628.99
1512833564182 14628.72
1512833564308 14608.91
1512833564361 14608.83
1512833564435 14593.96
1512833564475 14593.96
1512833564610 14595.47
1512833564647 14595.47
1512833564828 14608.8
1512833564989 14628.71
1512833565017 14612.03
1512833565251 14593.99
1512833565324 14593.47
1512833565377 14593.47
1512833565522 14608.8
1512833565622 14612.03
1512833565692 14595.47
1512833565910 14628.64
1512833565934 14595.47
1512833566177 14608.83
1512833566272 14611.06
1512833566315 14595
1512833566622 14608.86
1512833566624 14628.62
1512833566804 14628.62
1512833566868 14608.81
1512833567037 14628.71
1512833567177 14628.61
